Area Codes,All Ages
E01027434,"1,360"
E01027435,"1,383"
E01027436,"1,601"
E01027464,"1,402"
E01027465,"1,519"
E01027466,"1,321"
E01033714,"2,497"
E01027449,"1,594"
E01027468,"1,278"
E01027469,"1,436"
E01027471,"1,666"
E01027472,"1,657"
E01027476,"2,334"
E01027489,"1,536"
E01027490,"1,781"
E01027491,"1,552"
E01027492,"1,838"
E01027493,"1,639"
E01027494,"2,208"
E01027483,"1,359"
E01027496,"1,225"
E01027508,"1,091"
E01027513,"1,948"
E01027484,"2,232"
E01027485,"1,536"
E01027486,"1,127"
E01027487,"1,166"
E01027512,"1,004"
E01027497,"2,629"
E01027498,"2,719"
E01027499,"1,580"
E01027500,"1,668"
E01027501,"1,074"
E01027502,"1,179"
E01027481,"1,690"
E01027482,"1,542"
E01027504,"2,021"
E01027506,"1,165"
E01027507,"1,385"
E01027509,"1,372"
E01027477,"1,202"
E01027478,"1,153"
E01027488,"2,096"
E01027495,"1,111"
E01027505,"1,422"
E01027510,"1,204"
E06000003,"135,275"
E01012100,"1,677"
E01012101,"1,466"
E01012102,"2,302"
E01012184,"1,441"
E01012105,"1,400"
E01012142,"1,643"
E01012143,"1,213"
E01012144,"1,380"
E01012106,"1,365"
E01012107,"1,367"
E01032560,"1,076"
E01032561,"1,564"
E01012176,"1,428"
E01012177,"1,461"
E01012178,"1,387"
E01012179,"1,516"
E01012180,"1,743"
E01012185,"1,435"
E01012186,"1,628"
E01012127,"1,201"
E01012128,"1,183"
E01012129,"2,291"
E01012130,"1,264"
E01012131,"1,415"
E01012138,"2,598"
E01012139,"1,841"
E01012140,"1,361"
E01012141,"1,055"
E01012154,"1,237"
E01012155,"1,525"
E01012156,"1,637"
E01012157,"1,602"
E01012158,"1,496"
E01012159,"1,597"
E01012160,"1,514"
E01012161,"1,577"
E01012113,"1,384"
E01012114,"1,410"
E01012175,"1,456"
E01033471,"2,252"
E01012095,"1,326"
E01012097,"1,214"
E01012098,"1,526"
E01012099,"1,476"
E01012108,"1,461"
E01012109,"1,371"
E01012110,"1,407"
E01012111,"1,315"
E01012171,"1,366"
E01012172,"1,359"
E01012162,"1,393"
E01012163,"2,196"
E01012164,"1,530"
E01012165,"2,377"
E01012096,"1,520"
E01012136,"1,445"
E01033473,"2,136"
E01012112,"1,486"
E01012145,"1,444"
E01012147,"1,784"
E01012149,"1,187"
E01012132,"1,975"
E01012134,"1,379"
E01012137,"1,303"
E01012181,"1,691"
E01012117,"1,451"
E01012118,"1,396"
E01012119,"2,115"
E01012121,"1,379"
E01032548,"1,573"
E01032549,"1,720"
E01033472,"2,538"
E01012120,"1,289"
E01012124,"1,453"
E01012182,"1,375"
E01012183,"1,543"
E01012148,"1,503"
E01012150,"1,477"
E01012151,"1,454"
E01012152,"1,509"
E01032594,"1,465"
E01012146,"1,251"
E01012167,"1,567"
E01012168,"1,906"
E01012170,"1,335"
E01012173,"1,123"
E01012174,"1,040"
E01033470,"1,758"
E06000004,"194,803"
E01012242,"1,451"
E01012243,"1,599"
E01012244,"1,389"
E01012246,"1,348"
E01012296,"1,372"
E01012297,"2,528"
E01012197,"2,044"
E01012256,"1,313"
E01012257,"1,399"
E01012275,"1,595"
E01012276,"1,753"
E01012277,"1,682"
E01012196,"1,624"
E01012198,"1,412"
E01012214,"1,662"
E01012215,"1,323"
E01012216,"1,326"
E01012245,"1,638"
E01012278,"1,329"
E01012279,"1,865"
E01012280,"1,540"
E01012281,"1,307"
E01012255,"1,342"
E01012269,"1,703"
E01012294,"1,240"
E01012295,"1,185"
E01033476,"1,698"
E01033480,"1,800"
E01012210,"1,503"
E01012211,"1,810"
E01012212,"1,510"
E01012213,"1,373"
E01012192,"1,485"
E01012193,"1,543"
E01012260,"1,701"
E01012261,"1,479"
E01012247,"1,340"
E01012249,"1,579"
E01012271,"1,499"
E01012272,"1,000"
E01012273,"1,612"
E01012274,"1,333"
E01012248,"1,375"
E01012250,"1,634"
E01032542,"1,479"
E01032543,"2,143"
E01032544,"2,040"
E01012194,"1,527"
E01012195,"1,502"
E01012258,"2,220"
E01012259,"1,798"
E01012268,"1,536"
E01012187,"1,338"
E01012188,"1,169"
E01012189,"1,372"
E01012205,"1,391"
E01012219,"1,705"
E01012251,"1,602"
E01012252,"1,580"
E01012253,"1,345"
E01012254,"1,437"
E01012204,"1,242"
E01012206,"1,435"
E01012207,"1,927"
E01012208,"1,611"
E01012262,"2,926"
E01012264,"2,762"
E01012266,"2,411"
E01012267,"1,691"
E01033477,"2,664"
E01012190,"1,436"
E01012191,"1,612"
E01012224,"1,681"
E01012225,"1,523"
E01012226,"1,308"
E01012209,"1,643"
E01012217,"1,540"
E01012218,"1,577"
E01012223,"1,556"
E01012286,"1,504"
E01012287,"2,792"
E01012288,"1,418"
E01012289,"1,344"
E01012238,"1,563"
E01012239,"2,363"
E01012240,"1,787"
E01012241,"1,446"
E01012290,"1,732"
E01012291,"1,992"
E01012292,"2,386"
E01012282,"1,303"
E01012283,"1,289"
E01012284,"1,501"
E01012285,"1,331"
E01012199,"1,426"
E01012200,"1,996"
E01012201,"1,824"
E01012202,"1,495"
E01012203,"1,806"
E01012270,"1,378"
E01012228,"1,342"
E01012230,"1,546"
E01012233,"1,476"
E01012236,"1,282"
E01012237,"1,305"
E01012227,"1,615"
E01012231,"2,009"
E01012232,"1,405"
E01012234,"1,601"
E01033474,"2,080"
E01033475,"2,015"
E01033478,"2,746"
E01033479,"1,875"
E01012235,"1,354"
E01012298,"1,394"
E01012299,"1,561"
E01012300,"1,522"
E01012301,"1,341"
E01012302,"1,266"
E01012303,"1,420"
E08000037,"200,996"
E01008246,"1,424"
E01008247,"1,569"
E01008248,"2,322"
E01008249,"1,541"
E01008250,"1,416"
E01008195,"2,075"
E01008197,"1,433"
E01008198,"1,451"
E01008199,"1,426"
E01008200,"1,344"
E01008245,"1,400"
E01008214,"1,610"
E01008215,"1,693"
E01008243,"1,499"
E01008244,"1,976"
E01008178,"1,569"
E01008180,"1,505"
E01008182,"1,723"
E01008277,"1,525"
E01008280,"1,813"
E01008177,"1,269"
E01008179,"1,206"
E01008181,"1,482"
E01008276,"1,460"
E01008279,"1,423"
E01008209,"2,018"
E01008210,"1,410"
E01008258,"2,248"
E01008259,"1,895"
E01008167,"1,599"
E01008169,"1,699"
E01008170,"1,945"
E01008171,"1,789"
E01008257,"1,480"
E01008262,"1,708"
E01008263,"1,597"
E01008264,"1,444"
E01008265,"1,397"
E01008266,"1,284"
E01008251,"1,907"
E01008252,"1,860"
E01008253,"1,676"
E01008254,"1,329"
E01008255,"1,857"
E01008165,"1,489"
E01008201,"1,605"
E01008202,"1,841"
E01008204,"1,544"
E01008212,"1,368"
E01008213,"1,572"
E01008216,"1,525"
E01008228,"1,162"
E01008206,"1,707"
E01008207,"1,390"
E01008208,"1,654"
E01008211,"1,767"
E01008283,"1,300"
E01008284,"1,426"
E01008286,"1,510"
E01008287,"2,010"
E01008231,"1,606"
E01008240,"1,459"
E01008241,"1,622"
E01008242,"1,648"
E01008281,"1,518"
E01008282,"1,448"
E01008219,"1,723"
E01008235,"1,408"
E01008236,"1,443"
E01008237,"1,542"
E01008238,"1,510"
E01008267,"1,547"
E01008269,"1,443"
E01008270,"1,336"
E01008271,"1,367"
E01008275,"1,456"
E01008229,"1,360"
E01008230,"1,405"
E01008232,"1,403"
E01008233,"1,306"
E01008285,"1,368"
E01008256,"1,747"
E01008260,"1,576"
E01008261,"1,460"
E01008268,"1,453"
E01008272,"1,360"
E01008273,"1,431"
E01008274,"1,376"
E01008193,"1,220"
E01008194,"1,409"
E01008234,"2,157"
E01008239,"1,490"
E01008218,"1,622"
E01008220,"1,249"
E01008221,"1,780"
E01008225,"1,669"
E01008227,"1,706"
E01008184,"1,371"
E01008185,"1,353"
E01008188,"1,407"
E01008278,"1,402"
E01008189,"1,367"
E01008190,"1,323"
E01008191,"1,422"
E01008192,"1,413"
E01008217,"1,512"
E01008183,"1,459"
E01008186,"1,970"
E01008187,"1,688"
E01008196,"1,988"
E01008222,"1,581"
E01008223,"1,873"
E01008224,"2,279"
E01008226,"1,689"
E01008172,"1,654"
E01008173,"1,655"
E01008174,"2,145"
E01008175,"1,468"
E01008176,"1,418"
E01008162,"2,636"
E01008164,"1,485"
E01008166,"1,565"
E01008168,"2,672"
E01008163,"2,095"
E01008203,"1,745"
E01008205,"1,572"
E08000021,"292,883"
E01008294,"1,457"
E01008306,"1,650"
E01008307,"1,041"
E01008308,"2,447"
E01008311,"2,179"
E01008312,"1,243"
E01008313,"1,208"
E01008309,"1,750"
E01008352,"1,477"
E01008357,"1,588"
E01008358,"1,572"
E01033550,"2,082"
E01033551,"1,784"
E01008336,"1,344"
E01008337,"1,462"
E01008338,"1,257"
E01008339,"1,644"
E01008340,"1,421"
E01008341,"1,380"
E01008342,"1,388"
E01008293,"1,419"
E01008456,"1,499"
E01008457,"1,585"
E01008458,"1,651"
E01008459,"1,945"
E01008460,"1,509"
E01008351,"1,440"
E01008354,"1,742"
E01008418,"1,977"
E01008420,"1,319"
E01008422,"1,723"
E01008424,"1,753"
E01008353,"1,531"
E01008355,"1,555"
E01008356,"1,453"
E01008378,"1,421"
E01008419,"1,543"
E01008421,"1,531"
E01008423,"1,353"
E01008317,"1,473"
E01008319,"1,837"
E01008320,"1,549"
E01008321,"1,765"
E01008322,"1,512"
E01008323,"1,506"
E01008295,"1,615"
E01008374,"1,555"
E01008375,"1,480"
E01008376,"1,170"
E01008377,"2,393"
E01008379,"1,507"
E01008380,"1,747"
E01008296,"1,389"
E01008297,"1,597"
E01008298,"1,389"
E01008299,"1,367"
E01008314,"1,238"
E01008315,"1,551"
E01008316,"1,629"
E01008318,"1,421"
E01008363,"1,611"
E01008365,"1,643"
E01008366,"2,131"
E01008369,"2,068"
E01008371,"1,372"
E01008372,"1,911"
E01008373,"2,570"
E01008400,"1,431"
E01008401,"1,595"
E01008402,"1,485"
E01008403,"1,398"
E01008404,"1,646"
E01008405,"1,398"
E01008443,"1,400"
E01008324,"1,326"
E01008325,"1,361"
E01008326,"1,447"
E01008327,"1,305"
E01008328,"1,158"
E01008329,"1,446"
E01008330,"1,387"
E01008300,"1,612"
E01008450,"1,604"
E01008451,"1,834"
E01008452,"1,457"
E01008367,"2,212"
E01008368,"1,772"
E01008370,"1,810"
E01008409,"1,669"
E01008411,"1,728"
E01008303,"1,850"
E01008359,"1,624"
E01008360,"1,695"
E01008361,"1,708"
E01008362,"1,950"
E01008364,"1,764"
E01008343,"1,580"
E01008344,"1,618"
E01008345,"1,560"
E01008346,"1,710"
E01008347,"1,462"
E01008348,"1,193"
E01008349,"1,774"
E01008350,"1,513"
E01008430,"1,304"
E01008431,"1,339"
E01008433,"1,361"
E01008434,"1,432"
E01008435,"1,543"
E01008436,"1,537"
E01008381,"1,429"
E01008382,"1,317"
E01008383,"1,441"
E01008384,"1,372"
E01008385,"1,372"
E01008386,"1,334"
E01008387,"1,340"
E01008396,"2,645"
E01008398,"1,787"
E01008449,"1,979"
E01008453,"1,770"
E01008455,"1,773"
E01033556,"3,401"
E01008406,"2,937"
E01008407,"3,765"
E01008410,"1,957"
E01008412,"1,762"
E01008413,"1,647"
E01033548,"1,278"
E01033553,"3,832"
E01008394,"1,494"
E01008395,"1,835"
E01008397,"3,037"
